Source,Target,Tweet Type
marciaj64,thattimwalker,retweet
thebluntdagger,rachael_swindon,retweet
walliewombat,jane_c_smith,retweet
walliewombat,vivacampaigns,retweet
walliewombat,vivacampaigns,retweet
walliewombat,animalscount,retweet
ryanraddatz1,scousegirlmedia,retweet
johnstanners,bethrigby,retweet
popstoke,rachael_swindon,retweet
irinagatti,thesnp,retweet
irinagatti,dr_philippaw,retweet
irinagatti,robertjenrick,retweet
bertiepalmer,jerryhicksunite,retweet
thegoodbuck,rachael_swindon,retweet
alexsimon7,djack_journo,retweet
alexsimon7,johnnymerceruk,retweet
alansouth,petemillward79,retweet
mag3749,bbcpolitics,retweet
mag3749,bbcquestiontime,retweet
mag3749,bbcone,retweet
fred79172142,itvtynetees,retweet
fred79172142,mikehillmp,retweet
fred79172142,jeremycorbyn,retweet
landiejm,haggis_uk,retweet
lynneh22,rosinapaintolin,retweet
lynneh22,johnmcdonnell,retweet
lynneh22,uklabour,retweet
tracybate1,_brexittory,retweet
gj1023,wtbdavidg,retweet
cathclad,unitepolitics,retweet
apksachar,thekingsfund,retweet
apksachar,beccya,retweet
hmsmith9,liarpoliticians,retweet
hmsmith9,uklabour,retweet
hmsmith9,uklabour,retweet
hmsmith9,jeremycorbyn,retweet
hmsmith9,bbcnews,retweet
edged_in_blue,haughey_clare,retweet
edged_in_blue,scotparl,retweet
edged_in_blue,govuk,retweet
edged_in_blue,thesnp,retweet
lorraineanneha1,kazzjenkins,retweet
lorraineanneha1,conservatives,retweet
samueld37597266,geziwoman,retweet
samueld37597266,mazzucatom,retweet
samueld37597266,uklabour,retweet
dannybhoy1235,kazzjenkins,retweet
dannybhoy1235,conservatives,retweet
keithkaith,brexitwales,retweet
keithkaith,uklabour,retweet
dr_polly_hill,trickyjabs,retweet
bsmrefinery,scousegirlmedia,retweet
martinbrampton,thegreenparty,retweet
martinbrampton,channel4news,retweet
bbc_haveyoursay,bbcnews,retweet
jfdwolff,davehartin,retweet
vinnyspelman,stop_the_eu,retweet
vinnyspelman,mikehillmp,retweet
billieo2,brexitbin,retweet
philosopotter,bethrigby,retweet
hmsmith9,liarpoliticians,retweet
hmsmith9,victorialive,retweet
hmsmith9,vicderbyshire,retweet
therstherese,mca_tories,retweet
jules23744754,dr_philippaw,retweet
ninpouk,keepnhspublic,retweet
redsnoopdogg,rotesockensteve,retweet
redsnoopdogg,rizeupuk,retweet
kenbgraham,dr_philippaw,retweet
kenbgraham,thesnp,retweet
b12snp,thesnp,retweet
b12snp,dr_philippaw,retweet
b12snp,robertjenrick,retweet
bsarahoates,brexitbin,retweet
markcarroll20,liarpoliticians,retweet
markcarroll20,uklabour,retweet
flybynightpress,abcpoppins,retweet
burglecuts1,marieannuk,retweet
elnrp,activistindoor,retweet
elnrp,wokinglibdems,retweet
elnrp,willforster,retweet
johncoxonmedia,theprolestar,retweet
davidwi64045201,georgegalloway,retweet
davidwi64045201,west_brom,retweet
pattyt1,arthur81288011,retweet
pattyt1,itcontracting,retweet
pattyt1,lcag_2019,retweet
pattyt1,loanchargeappg,retweet
pattyt1,hmrcgovuk,retweet
pattyt1,hmtreasury,retweet
clogowena65,nick_blm,retweet
joyceel71162017,wnettleford,retweet
joyceel71162017,adamprice,retweet
joyceel71162017,garethbale11,retweet
joyceel71162017,plaid_cymru,retweet
christi75367510,saynotolabour10,retweet
cianireland3,evacmurray,retweet
cianireland3,mary_kate_ross,retweet
cianireland3,scottishlabour,retweet
n_butler23,kazzjenkins,retweet
n_butler23,conservatives,retweet
gillmalik,aaronbastani,retweet
bombweed_novel,johnston277,retweet
scottorywomen,moraytories,retweet
scottorywomen,scottories,retweet
scottorywomen,conservatives,retweet
barriej80807363,labouragainstas,retweet
fparsonage,brexitbin,retweet
johnric15257424,angelarayner,retweet
steveedwards18,_brexittory,retweet
mary_kate_ross,evacmurray,retweet
mary_kate_ross,mary_kate_ross,retweet
mary_kate_ross,scottishlabour,retweet
cornwall70001,ukreloaded,retweet
hopebrexit,_brexittory,retweet
ndoomster,snb19692,retweet
ndoomster,djnicholl,retweet
ndoomster,libdems,retweet
parkinson72neil,joswinson,retweet
swadkelv,brexitbin,retweet
suleskerry,joannaccherry,retweet
cbfg53293264,beccijohnson88,retweet
menabster,femi_sorry,retweet
menabster,mattwestern_,retweet
vote_labour2019,socialistvoice,retweet
kimhall11757580,rachael_swindon,retweet
qwertyorazerty,itvtynetees,retweet
qwertyorazerty,mikehillmp,retweet
qwertyorazerty,jeremycorbyn,retweet
markusrolfe,_brexittory,retweet
poppyvalentine,itsme70s,retweet
poppyvalentine,uklabour,retweet
zed_grain,haggis_uk,retweet
kelpie1412,alisonthewliss,retweet
kelpie1412,thesnp,retweet
joanne27_jo,addicted2newz,retweet
menabster,jamessteel2008,retweet
menabster,femi_sorry,retweet
menabster,mattwestern_,retweet
menabster,borisjohnson,retweet
menabster,jamescleverly,retweet
menabster,conservatives,retweet
menabster,cchqpress,retweet
deadlydicanio,romillyweeks,retweet
deadlydicanio,itvnews,retweet
bazzablues,bethrigby,retweet
langdaler,theadickinson,retweet
squaire67_d,skynews,retweet
20mphfalmouth,brexitbin,retweet
grinchypj,rachael_swindon,retweet
northwich115,_brexittory,retweet
menabster,apollon101,retweet
bogdanade52,pdockerty,retweet
igovernanceltd,the_tpa,retweet
loanchargevoice,donedgley1,retweet
loanchargevoice,keithmgordon,retweet
loanchargevoice,conservatives,retweet
darrengnffc,romillyweeks,retweet
darrengnffc,itvnews,retweet
fitalass,scottorywomen,retweet
fitalass,moraytories,retweet
fitalass,scottories,retweet
fitalass,conservatives,retweet
portraitinflesh,romillyweeks,retweet
portraitinflesh,itvnews,retweet
alanhall1979,pompeytim69,retweet
alanhall1979,bbcnewspr,retweet
alanhall1979,guardian,retweet
alanhall1979,cchqpress,retweet
alanhall1979,bbcnewspr,retweet
frankentan,bethrigby,retweet
donegalclaret,scousegirlmedia,retweet
jodarbyshire12,ukcag,retweet
jodarbyshire12,borisjohnson,retweet
jodarbyshire12,jeremycorbyn,retweet
jodarbyshire12,joswinson,retweet
jodarbyshire12,carolinelucas,retweet
jodarbyshire12,nigel_farage,retweet
jodarbyshire12,robertjenrick,retweet
jodarbyshire12,esthermcvey1,retweet
jodarbyshire12,laboursj,retweet
joyceel71162017,skynews,retweet
joyceel71162017,adamprice,retweet
joyceel71162017,adamboultonsky,retweet
meadowcroftrob,matthewgreen02,retweet
meadowcroftrob,libdems,retweet
snoopdogtanian,scousegirlmedia,retweet
dragonsculpt,geziwoman,retweet
dragonsculpt,mazzucatom,retweet
dragonsculpt,uklabour,retweet
eileenbuck13,athenaleave,retweet
eileenbuck13,nigel_farage,retweet
eileenbuck13,brexitparty_uk,retweet
eileenbuck13,brexitparty_uk,retweet
markredon,dancardenmp,retweet
msdcnews,electoralcommuk,retweet
michael7215,_brexittory,retweet
sheilam19534814,dr_philippaw,retweet
sheilam19534814,thesnp,retweet
alan_saunders57,dancingthemind,retweet
yvettehenson,ukreloaded,retweet
nicki_hattingh,brexitwales,retweet
nicki_hattingh,uklabour,retweet
singlesfield,cornishskipper,retweet
hanton31,dr_philippaw,retweet
morrislaw,sunpolitics,retweet
jimwill03159832,graemepearce3,retweet
flybynightpress,helen4libdems,retweet
flybynightpress,siobhanbenita,retweet
olivelooke,dancingthemind,retweet
crisiswales,crisis_uk,retweet
emmanewton18741,hellomccracken,retweet
emmanewton18741,thekingsfund,retweet
emmanewton18741,richarddmurray1,retweet
emmanewton18741,bbcnaga,retweet
popstoke,hinabokharild,retweet
popstoke,suttonlibdems,retweet
popstoke,libdems,retweet
colttech,sebastianepayne,retweet
colttech,financialtimes,retweet
philipjtaylor1,bethrigby,retweet
leonardi_damian,socialistvoice,retweet
howeybaby,haggis_uk,retweet
saturdaysofthu1,miafans4comms,retweet
saturdaysofthu1,trashfuturepod,retweet
saturdaysofthu1,owenjones84,retweet
saturdaysofthu1,paulmasonnews,retweet
saturdaysofthu1,novaramedia,retweet
saturdaysofthu1,michaeljswalker,retweet
saturdaysofthu1,aaronbastani,retweet
saturdaysofthu1,piercepenniless,retweet
saturdaysofthu1,ayocaesar,retweet
saturdaysofthu1,rachael_swindon,retweet
joyceel71162017,skynewspolitics,retweet
joyceel71162017,tommysheppard,retweet
joyceel71162017,jeremycorbyn,retweet
joyceel71162017,borisjohnson,retweet
joyceel71162017,nicolasturgeon,retweet
wecopyyoudown,bbcnews,retweet
longeatonlife,lgacomms,retweet
loanchargevoice,arthur81288011,retweet
loanchargevoice,islingtonlibdem,retweet
loanchargevoice,libdems,retweet
loanchargevoice,uklabour,retweet
loanchargevoice,conservatives,retweet
lindsaylsteele,bbcquestiontime,reply
lindsaylsteele,bbcone,retweet
dayeskimo,bydonkeys,retweet
pgd_22,dancingthemind,retweet
johnsmi46126224,bhdemocracynews,retweet
johnsmi46126224,sussexuni,retweet
markcf83,sebastianepayne,retweet
markcf83,financialtimes,retweet
mccarthchase,nick_blm,retweet
wavertreegreens,thegreenparty,retweet
flybynightpress,cheng_christine,retweet
flybynightpress,profjanegreen,retweet
flybynightpress,leonardocarella,retweet
flybynightpress,chrishanretty,retweet
flybynightpress,neilstockley,retweet
prosperityunity,sunpolitics,retweet
jonie1303,rachael_swindon,retweet
markgarlick9,_brexittory,retweet
alibcd,cornishskipper,retweet
andysredmen,_brexittory,retweet
hicksap10,kazzjenkins,retweet
hicksap10,conservatives,retweet
elliemcfa,westhamcons,retweet
elliemcfa,sara4westham,retweet
elliemcfa,dehennadavison,retweet
elliemcfa,clairecoutinho,retweet
elliemcfa,onioviri,retweet
elliemcfa,kimcaddy,retweet
profjeffkenner,lgacomms,retweet
airdriedsausage,damian_from,retweet
peasweat2,generalboles,retweet
makeminesred,novaramedia,retweet
makeminesred,michaeljswalker,retweet
makeminesred,aaronbastani,retweet
thewubberduck,rachael_swindon,retweet
heatherjstyles,jo4nfw,retweet
heatherjstyles,remain_labour,retweet
heatherjstyles,newforesteurope,retweet
photomultipr,sunpolitics,retweet
kevincomley1,sunpolitics,retweet
kevincomley1,emilyhewertson,retweet
izzie_kathryn,itvtynetees,retweet
izzie_kathryn,mikehillmp,retweet
izzie_kathryn,jeremycorbyn,retweet
marplejane,socialistvoice,retweet
duma1613,bbcnewsnight,retweet
duma1613,maitlis,retweet
duma1613,jamescleverly,retweet
maxonthecoast,michaeldickson,retweet
andys_64,brexitbin,retweet
hudmotorsports,_brexittory,retweet
armbreakingswan,_brexittory,retweet
ilovecfood,goodwinmj,retweet
b12snp,dr_philippaw,retweet
b12snp,thesnp,retweet
mymindgetslost,nick_blm,retweet
jjsalmo,euanphilipps,retweet
jjsalmo,mattforde,retweet
jjsalmo,lucianaberger,retweet
neil04357329,friends_earth,reply
neil04357329,beag_tweets,retweet
neil04357329,uklabour,retweet
angiemeader,markrmifsud,reply
angiemeader,libdems,retweet
angiemeader,joswinson,retweet
angiemeader,joswinson,retweet
paulmhd,robgilroy,retweet
the_cynical1,lthlondon,retweet
broncoskolar,rachael_swindon,retweet
highlandsigar,brexitbin,retweet
juliemc14795436,addicted2newz,retweet
sarahma50398302,aaronbastani,retweet
andrew22253776,dancingthemind,retweet
andrew22253776,bydonkeys,retweet
chrisbruce1990,sunpolitics,retweet
chrisbruce1990,emilyhewertson,retweet
nikeismybag,geziwoman,retweet
nikeismybag,mazzucatom,retweet
nikeismybag,uklabour,retweet
jillian_geary,carerstrust,retweet
chkagm,dr_philippaw,retweet
reg_gurney,sunpolitics,retweet
reg_gurney,emilyhewertson,retweet
thefibreman,scousegirlmedia,retweet
josmi98486305,polstudiesassoc,retweet
josmi98486305,ipsosmori,retweet
gypsydave5,bethrigby,retweet
mgt_coull26,r_de_gerber,retweet
mgt_coull26,susannah_j,retweet
mgt_coull26,ronjoepatterson,retweet
timrich,jerryhicksunite,retweet
thedoctorxxx,sunpolitics,retweet
thedoctorxxx,emilyhewertson,retweet
huckle_paul,itvtynetees,retweet
huckle_paul,mikehillmp,retweet
huckle_paul,jeremycorbyn,retweet
lynne04289004,kazzjenkins,retweet
lynne04289004,conservatives,retweet
benicegjb,dr_philippaw,retweet
benicegjb,thesnp,retweet
chkagm,brexitbin,retweet
___infidel_,addicted2newz,retweet
___infidel_,afneil,retweet
connor_labour,rachael_swindon,retweet
ginger_ollie,goodwinmj,retweet
se25a,remainutd,retweet
michael_marsh_,brexitbin,retweet
jbaxter_,kazzjenkins,retweet
jbaxter_,conservatives,retweet
plaid_cymru,crisiswales,retweet
plaid_cymru,crisis_uk,retweet
lemuelrisaac,_brexittory,retweet
mo1is2sad,bethrigby,retweet
linda_sneddon,thesnp,retweet
linda_sneddon,dr_philippaw,retweet
linda_sneddon,robertjenrick,retweet
airdriedsausage,rachael_swindon,retweet
roswoolley,bywirenews,retweet
jasonbourne6902,sunpolitics,retweet
jasonbourne6902,emilyhewertson,retweet
koritfw,bywirenews,retweet
gbobbin,folpoliticsuk,retweet
redsnoopdogg,geziwoman,retweet
redsnoopdogg,mazzucatom,retweet
redsnoopdogg,uklabour,retweet
alicerider8,scousegirlmedia,retweet
deeppolitics,rachael_swindon,retweet
sixoftwo,theadickinson,retweet
kennynoles,romillyweeks,retweet
kennynoles,itvnews,retweet
chrissieoap,trishal8,retweet
chrissieoap,suey2y,retweet
chrissieoap,nigelplymtom,retweet
chrissieoap,chrissieoap,retweet
brucifr76,bbcquestiontime,retweet
brucifr76,conservatives,retweet
brucifr76,cchqpress,retweet
brucifr76,rorystewartuk,retweet
brucifr76,carolinelucas,retweet
brucifr76,keir_starmer,retweet
brucifr76,johnsweeneyroar,retweet
brucifr76,krishgm,retweet
brucifr76,mrjamesob,retweet
brucifr76,daaronovitch,retweet
brucifr76,mrnishkumar,retweet
brucifr76,davidschneider,retweet
brucifr76,maitlis,retweet
brucifr76,thegreenparty,retweet
brucifr76,younggreenparty,retweet
brucifr76,jimmfelton,retweet
brucifr76,jonathanpienews,retweet
irinagatti,everywoman61,retweet
rosiebloom3,thesnp,retweet
rosiebloom3,dr_philippaw,retweet
rosiebloom3,robertjenrick,retweet
jacquel53085745,ukreloaded,retweet
paulturner2012,saynotolabour10,retweet
paynton,monicabeharding,retweet
paynton,elmbridgelibdem,retweet
paynton,libdems,retweet
paynton,thegreenparty,retweet
joannahorton7,haggis_uk,retweet
wordnewspaper,yasminh__x,retweet
sheilagunny,sunpolitics,retweet
sheilagunny,emilyhewertson,retweet
dianne_nicholls,the_angry_nun,retweet
azzasmith89,aaronbastani,retweet
aramrawf,rgordon_nesbitt,retweet
amynicpalmer,harrisimo,retweet
avantip0polo,milneorchid,retweet
superdreadnough,jamesefoster,retweet
superdreadnough,borisjohnson,retweet
superdreadnough,uklabour,retweet
superdreadnough,armilani_,retweet
superdreadnough,borisjohnson,retweet
superdreadnough,jeremycorbyn,retweet
superdreadnough,channel4,retweet
superdreadnough,krishgm,retweet
greigtaylor1,_brexittory,retweet
paul_s_floyd,_brexittory,retweet
john_chandler,sloughlibdems,retweet
richardlochhead,jockmckaysnp,retweet
richardlochhead,moraysnp,retweet
richardlochhead,thesnp,retweet
richardlochhead,moraylaura,retweet
lmhallam8,dancingthemind,retweet
ethicalchalleng,generalboles,retweet
fieldlongbow,dancingthemind,retweet
fieldlongbow,bydonkeys,retweet
gayspacepilot,bbcnews,retweet
maxlawless,joannaccherry,retweet
tim_for_peace,chris_co1e,retweet
tim_for_peace,tobias_ellwood,retweet
pattyt1,lcag_2019,retweet
pattyt1,iaindale,retweet
pattyt1,skynews,retweet
pattyt1,libdems,retweet
kacidama,lindaukc21,retweet
kacidama,theresa_may,retweet
kacidama,borisjohnson,retweet
kacidama,conservatives,retweet
jimwill03159832,scousegirlmedia,retweet
stuartgourley,kr_shackleton,retweet
stuartgourley,leerjdillon,retweet
stuartgourley,kennetradio,retweet
stuartgourley,strafin,retweet
southwestfbu,c4meronm4tthews,retweet
mrweilandjarvis,richardlochhead,retweet
mrweilandjarvis,jockmckaysnp,retweet
mrweilandjarvis,moraysnp,retweet
mrweilandjarvis,thesnp,retweet
mrweilandjarvis,moraylaura,retweet
callum_suttle,kazzjenkins,retweet
callum_suttle,conservatives,retweet
elle49,dr_philippaw,retweet
tobyh45,swansea4europe,retweet
yeatesmichael,kazzjenkins,retweet
yeatesmichael,conservatives,retweet
jackspr97225020,kazzjenkins,retweet
jackspr97225020,conservatives,retweet
ellen_coyle,dr_philippaw,retweet
huwsayer,skynews,retweet
huwsayer,joswinson,retweet
laruedupass,haggis_uk,retweet
bombweed_novel,imajsaclaimant,retweet
matzoballing,euanphilipps,retweet
matzoballing,mattforde,retweet
matzoballing,lucianaberger,retweet
gallenjm,tommysheppard,retweet
christinejelmer,christineelmer,retweet
christinejelmer,lewisdavidj,retweet
christinejelmer,dominicraab,retweet
christinejelmer,conservatives,retweet
christinejelmer,elmbridgecons,retweet
christinejelmer,monicabeharding,retweet
leonhobbes,kazzjenkins,retweet
leonhobbes,conservatives,retweet
clairetaylor07,hellomccracken,retweet
clairetaylor07,thekingsfund,retweet
clairetaylor07,richarddmurray1,retweet
clairetaylor07,bbcnaga,retweet
embarrassedbrit,brexitbin,retweet
colinfoy29,rachael_swindon,retweet
wtmelvin,dr_philippaw,retweet
wtmelvin,thesnp,retweet
saleemulhuq,finlaypringle,retweet
saleemulhuq,gretathunberg,retweet
saleemulhuq,vanessa_vash,retweet
flittonlucy,jamesbundy,retweet
redcliffescott,haggis_uk,retweet
ellen_coyle,everywoman61,retweet
banjomarla,trickyjabs,retweet
tomhalliday20,rachael_swindon,retweet
kevonhissoapbox,uklabour,reply
kevonhissoapbox,conservatives,retweet
kevonhissoapbox,libdems,retweet
nicolawitch,addicted2newz,retweet
notlr,rachael_swindon,retweet
insidehousing,insidehousing,retweet
tonyforindy,dr_philippaw,retweet
tinaell61718881,_brexittory,retweet
helenro40139309,thesnp,retweet
krimisukrainian,brexitbin,retweet
westfmnews,political_alans,retweet
antitorytweets,bbcquestiontime,retweet
skintanddem,stereoglasgow,retweet
skintanddem,kevinpgilday,retweet
skintanddem,vmcnulty67,retweet
musictomyearsm1,pj_speaks,retweet
curiocat13,bydonkeys,retweet
cathybdoyle,shelter,retweet
lookingglassd,kazzjenkins,retweet
lookingglassd,conservatives,retweet
clarknat,thesnp,retweet
clarknat,nicolasturgeon,retweet
clarknat,annemclaughlin,retweet
cornwall4corbyn,fisherandrew79,retweet
obblomovv92,scousegirlmedia,retweet
cianireland3,unisondave,retweet
sixoftwo,addicted2newz,retweet
rebekah_fox,topazstopbrexit,retweet
cpetherbridge,bloggerheads,retweet
cpetherbridge,borisjohnson,retweet
westsoundnews,political_alans,retweet
zombie_nun,_brexittory,retweet
beith123,brexitbin,retweet
tjz1100,trickyjabs,retweet
jamesmiller_42,brexitparty_uk,retweet
elfiekawaii,leedseurope,retweet
elfiekawaii,alexsobel,retweet
chkagm,thesnp,retweet
smith6times,angelortanya,retweet
smith6times,uklabour,retweet
smith6times,jeremycorbyn,retweet
hausofrushdi,socialistvoice,retweet
ges_english,bevrilett,retweet
ges_english,georgeeliotlove,retweet
hackneywick,roundhouseldn,retweet
hackneywick,rachelshapes,retweet
timsnemesis,saynotolabour10,retweet
turkeymedia,rachael_swindon,retweet
fwau71,stwuk,retweet
alunwms,bethpenderyn,retweet
alunwms,welshlabour,retweet
alunwms,cynonlabour,retweet
sel_jones,imajsaclaimant,retweet
illdoitanyway,yasminh__x,retweet
mattabbottpoet,skintanddem,retweet
mattabbottpoet,stereoglasgow,retweet
mattabbottpoet,kevinpgilday,retweet
mattabbottpoet,vmcnulty67,retweet
iambenwest,iambenwest,retweet
gideonthomas,joejlevy,retweet
gideonthomas,thegreenparty,retweet
dagenhammkiii,sunpolitics,retweet
dagenhammkiii,emilyhewertson,retweet
cawseykatharine,haggis_uk,retweet
b00t5y,laurenjtownsend,retweet
b00t5y,uklabour,retweet
b00t5y,spicytrev,retweet
b00t5y,blesshercotton,retweet
b00t5y,btslavin,retweet
oldstinkyone,trickyjabs,retweet
ryannorton39,iaingraymsp,retweet
ryannorton39,eastlothianclp,retweet
anthony_m_kelly,ofocbrexit,retweet
padsterglover,kazzjenkins,retweet
padsterglover,conservatives,retweet
vote_labour2019,angelarayner,retweet
amandas81849097,scousegirlmedia,retweet
socioequaliser,kazzjenkins,retweet
socioequaliser,conservatives,retweet
mrfootyguy,trickyjabs,retweet
enfieldsouthga2,stevebakerhw,reply
enfieldsouthga2,conservatives,retweet
enfieldsouthga2,nigel_farage,retweet
kacidama,imincorrigible,retweet
kacidama,uklabour,retweet
kacidama,lbc,retweet
wideeyedsociety,aaronbastani,retweet
danielevans794,theadickinson,retweet
crisiswales,crisis_uk,reply
jcolintaylor,brexitbin,retweet
nymphsandthugs,skintanddem,retweet
nymphsandthugs,stereoglasgow,retweet
nymphsandthugs,kevinpgilday,retweet
nymphsandthugs,vmcnulty67,retweet
ordinary_bloke2,sunpolitics,retweet
hausofrushdi,socialistvoice,retweet
kevin70971575,sunpolitics,retweet
kevin70971575,emilyhewertson,retweet
kugeosoc,wwf_uk,retweet
aj_dettman,marwilliamson,retweet
aj_dettman,radiohumberside,retweet
aj_dettman,afneil,retweet
aj_dettman,mrjamesob,retweet
aj_dettman,maitlis,retweet
aj_dettman,un,retweet
bernietommo,nick_blm,retweet
stegregory35,iwantjc4pm,retweet
niallmoran,dr_philippaw,retweet
juliasm45799532,farleydavenport,reply
juliasm45799532,janewardengray,retweet
shorty6814,scousegirlmedia,retweet
hausofrushdi,socialistvoice,retweet
maegofrance,brexitbin,retweet
macadam_j,peoplesvote_uk,retweet
larmyr10,doozy_45,retweet
dereksherratt,brexitbin,retweet
raw6922,itvtynetees,retweet
raw6922,mikehillmp,retweet
raw6922,jeremycorbyn,retweet
seriakirimin,kazzjenkins,retweet
seriakirimin,conservatives,retweet
menabster,bellaswoosh,retweet
menabster,libdems,retweet
menabster,thegreenparty,retweet
menabster,uklabour,retweet
dotspod1,addicted2newz,retweet
nelson_mcnelson,zoefranklinld,retweet
feyway,kazzjenkins,retweet
feyway,conservatives,retweet
trevtyrus,_brexittory,retweet
avantip0polo,bethrigby,retweet
telcocitizens,fiona_byrne7,retweet
telcocitizens,mickylevoguer,retweet
telcocitizens,drfranzanatta,retweet
telcocitizens,cass_uel,retweet
javelinsam,sunpolitics,retweet
javelinsam,emilyhewertson,retweet
carmel_prescott,scousegirlmedia,retweet
catala_indignat,aameranwar,retweet
bargergra,moonfan,retweet
bargergra,dr_philippaw,retweet
bargergra,nhsengland,retweet
bargergra,nhsscotland,retweet
clarecorrigan2,dancingthemind,retweet
bigblackspecs,sunpolitics,retweet
bigblackspecs,emilyhewertson,retweet
alanjohnson35,simplysimontfa,retweet
alanjohnson35,borisjohnson,retweet
rhidian33,rachael_swindon,retweet
jackspr97225020,angelortanya,retweet
jackspr97225020,uklabour,retweet
jackspr97225020,jeremycorbyn,retweet
hausofrushdi,socialistvoice,retweet
pauline_hardman,rachael_swindon,retweet
davetykelawton,angelarayner,retweet
momentumcv,rotesockensteve,retweet
momentumcv,rizeupuk,retweet
dayeskimo,thestephenralph,retweet
pv_wantage,electoralcommuk,retweet
hushlaa,goodwinmj,retweet
jebus_h_c,scousegirlmedia,retweet
kerieinlondon,athenaleave,retweet
kerieinlondon,nigel_farage,retweet
kerieinlondon,brexitparty_uk,retweet
kerieinlondon,brexitparty_uk,retweet
gaius2013,ukreloaded,retweet
lucyhurstbrown,ashley_cartman,retweet
lucyhurstbrown,libdems,retweet
lucyhurstbrown,libdemfightbac,retweet
pauljoh13366234,brexitbin,retweet
dragonsculpt,trickyjabs,retweet
chris6601946,rachael_swindon,retweet
welovekeynsham,bathnesgreens,retweet
welovekeynsham,natalieben,retweet
welovekeynsham,templestcanteen,retweet
welovekeynsham,bathlive,retweet
welovekeynsham,bathecho,retweet
mob51,derek4centayr,retweet
mob51,scottories,retweet
mob51,scottories,retweet
justice30,wwf_uk,retweet
larmyr10,demelzaklass,retweet
democrats_uk,craigfletcherld,retweet
lins_andrews213,ukreloaded,retweet
elethio,rachael_swindon,retweet
anglobrexiteer,sunpolitics,retweet
anglobrexiteer,emilyhewertson,retweet
ichy_vagenda,itvwales,retweet
ichy_vagenda,adamprice,retweet
mislein,haggis_uk,retweet
redsnoopdogg,briefcasemike,retweet
ainealoisia,haggis_uk,retweet
saintdavid2911,bbcradio4,retweet
richardpearce,haggis_uk,retweet
aidanfarrow,electoralreform,retweet
michaelrose1865,forchange_now,retweet
michaelrose1865,chrislesliemp,retweet
michaelrose1865,mikegapes,retweet
michaelrose1865,anna_soubry,retweet
christi40330644,addicted2newz,retweet
flybynightpress,laylamoran,retweet
cuckstonrosvita,independent,retweet
tighnacoille,richardlochhead,retweet
tighnacoille,jockmckaysnp,retweet
tighnacoille,moraysnp,retweet
tighnacoille,thesnp,retweet
tighnacoille,moraylaura,retweet
peterward1,sunpolitics,retweet
peterward1,emilyhewertson,retweet
kacidama,topazstopbrexit,retweet
bernietommo,haggis_uk,retweet
nalacamille,poulterwill,retweet
nalacamille,opblackvote,retweet
lady_stormrider,rachael_swindon,retweet
remoaner_wolf,_brexittory,retweet
geraldinesnell,jeremycorbyn4pm,retweet
star_vibes,drdavidbull,retweet
love6musicsteve,kristoforbrown,retweet
love6musicsteve,libdems,retweet
sabine_jacques,nikosskoutaris,retweet
sabine_jacques,theforumnorwich,retweet
haliltomur,ayocaesar,retweet
haliltomur,opblackvote,retweet
pintofstellla,kazzjenkins,retweet
pintofstellla,conservatives,retweet
lborouniversity,jeremycorbyn,retweet
lborouniversity,borisjohnson,retweet
lborouniversity,lborocrcc,retweet
willmartin88,insidehousing,retweet
willmartin88,uklabour,retweet
willmartin88,conservatives,retweet
willmartin88,libdems,retweet
willmartin88,thegreenparty,retweet
willmartin88,thesnp,retweet
willmartin88,brexitparty_uk,retweet
eylesgeoff,jamesbundy,retweet
hereforthegay81,brexitbin,retweet
historyshawv,remainutd,retweet
crazyoverlord,unitetheunion,retweet
euromoveos,peoplesvote_uk,reply
euromoveos,euromoveos,retweet
brexitlivesey7,brexitparty_uk,retweet
brexitlivesey7,brexitparty_uk,retweet
davidchameleon,foreignoffice,retweet
davidchameleon,conservatives,retweet
willmartin88,ukcag,retweet
willmartin88,borisjohnson,retweet
willmartin88,jeremycorbyn,retweet
willmartin88,joswinson,retweet
willmartin88,carolinelucas,retweet
willmartin88,nicolasturgeon,retweet
willmartin88,nigel_farage,retweet
willmartin88,esthermcvey1,retweet
willmartin88,robertjenrick,retweet
willmartin88,laboursj,retweet
democrats_uk,zoefranklinld,retweet
emmafriedmann,imajsaclaimant,retweet
maegofrance,monicabeharding,retweet
maegofrance,elmbridgelibdem,retweet
miacoming,angelarayner,retweet
snowhawk50,sunpolitics,retweet
curseofmandos,scousegirlmedia,retweet
lenthomas5,joncruddas_1,retweet
lenthomas5,uklabour,retweet
pat1butcherss,rachael_swindon,retweet
katskicollins,_brexittory,retweet
markcarroll20,liarpoliticians,retweet
markcarroll20,uklabour,retweet
markcarroll20,uklabour,retweet
superhotbitch,rotesockensteve,retweet
superhotbitch,rizeupuk,retweet
kacidama,topazstopbrexit,retweet
drewtabori,kazzjenkins,retweet
drewtabori,conservatives,retweet
jenisconcerned,bloggerheads,retweet
jenisconcerned,jeremycorbyn,retweet
jenisconcerned,uklabour,retweet
jenisconcerned,conservatives,retweet
garycharmley,itvtynetees,retweet
garycharmley,mikehillmp,retweet
garycharmley,jeremycorbyn,retweet
mrkeithalanrob1,itvtynetees,retweet
mrkeithalanrob1,mikehillmp,retweet
mrkeithalanrob1,jeremycorbyn,retweet
foxton_peacocks,armilani_,reply
foxton_peacocks,borisjohnson,retweet
huwsayer,millenniumlib,retweet
topwak,_brexittory,retweet
clarknat,lesleeemax,retweet
clarknat,amycallaghansnp,retweet
